,customer_id,first_name,last_name,gender,past_3_years_bike_related_purchases,DOB,job_title,job_industry_category,wealth_segment,deceased_indicator,owns_car,tenure
0,1,Laraine,Medendorp,F,93,-511920000000000000,Executive Secretary,Health,Mass Customer,N,Yes,11
1,2,Eli,Bockman,M,81,345772800000000000,Administrative Officer,Financial Services,Mass Customer,N,Yes,16
2,3,Arlin,Dearle,M,61,-503280000000000000,Recruiting Manager,Property,Mass Customer,N,Yes,15
3,4,Talbot,,M,33,-260236800000000000,Business Systems Development Analyst,IT,Mass Customer,N,No,7
4,5,Sheila-kathryn,Calton,F,56,232329600000000000,Senior Editor,Manufacturing,Affluent Customer,N,Yes,8
5,6,Curr,Duckhouse,M,35,-103939200000000000,Business Systems Development Analyst,Retail,High Net Worth,N,Yes,13
6,7,Fina,Merali,F,6,193881600000000000,Business Systems Development Analyst,Financial Services,Affluent Customer,N,Yes,11
7,8,Rod,Inder,M,31,-244857600000000000,Media Manager I,Manufacturing,Mass Customer,N,No,7
8,9,Mala,Lind,F,97,100569600000000000,Business Systems Development Analyst,Argiculture,Affluent Customer,N,Yes,8
9,10,Fiorenze,Birdall,F,49,592531200000000000,Senior Quality Engineer,Financial Services,Mass Customer,N,Yes,20
10,11,Uriah,Bisatt,M,99,-494640000000000000,Business Systems Development Analyst,Property,Mass Customer,N,No,9
11,12,Sawyere,Flattman,M,58,774748800000000000,Nuclear Power Engineer,Manufacturing,Mass Customer,N,No,8
12,13,Gabriele,Norcross,M,38,-469497600000000000,Developer I,Financial Services,High Net Worth,N,Yes,8
13,14,Rayshell,Kitteman,F,85,417398400000000000,Account Executive,Financial Services,Affluent Customer,N,No,6
14,15,Erroll,Radage,M,91,963446400000000000,Junior Executive,Manufacturing,Mass Customer,N,No,1
15,16,Harlin,Parr,M,38,225849600000000000,Media Manager IV,Manufacturing,Mass Customer,N,Yes,18
16,17,Heath,Faraday,M,57,-245808000000000000,Sales Associate,Manufacturing,Affluent Customer,N,Yes,15
17,18,Marjie,Neasham,F,79,-78624000000000000,Professor,Manufacturing,Affluent Customer,N,No,11
18,19,Sorcha,Keyson,F,76,987292800000000000,Geological Engineer,Manufacturing,High Net Worth,N,No,1
